source	inter	target	btstp	index	?
MYC2	1	LOG7	100	1.47	1.2
AtMYB93	1	B3	100	1.418	1
AtMYB93	1	CYP735A2	100	0.981	2
AtMYB93	1	LAX3	37.9	1.993	2.8
AtMYB93	1	CPC	100	1.363	2
AtMYB93	1	EXPA17	12.8	1.841	6
AtMYB93	1	CK	100	0.814	1.5
AtMYB93	-1	MEL1	100	2.141	1
AtMYB93	1	AT5G06270	100	1.293	1.3
AtMYB93	1	ARR6	72.7	1.174	0.5
PLT2	1	PIN1	7	2.341	0.7
PLT2	1	AHP6	100	1.119	2
PLT2	1	ARR14	100	1.802	1.2
PLT2	1	PID2	100	0.978	0.2
PLT2	-1	PGP4	85	1.896	0.2
PLT2	-1	SLR	37.7	3.322	1
PLT2	-1	PUCHI	36.7	2.619	1
PLT2	1	PI	88.9	1.078	1
PLT2	1	ADK1b	100	1.209	0.2
IAA18	-1	AGL14	16.4	3.042	3.3
CNA	-1	YUC3	54.8	2.584	2
CNA	1	ARF19	100	0.796	1.2
CNA	-1	WOL.AHK4	4.9	1.327	2.7
CNA	1	ARR8	96.8	1.283	0.7
CNA	1	LBD16	100	1.27	2
CNA	1	AFB2	77.6	0.938	0.2
CNA	1	IAA29	100	1.883	1.8
CNA	1	WOX13	100	1.015	2
CNA	-1	AGL14	100	1.783	2.3
TTL1	1	PIN3	100	1.632	1.8
TTL1	1	ARR8	83.8	1.807	0.5
TTL1	1	ADK1	100	1.341	0.8
TTL1	1	KRP2	47.1	2.012	0.7
TTL1	1	SCR	43.3	2.064	1.5
TTL1	1	ARR9	100	1.507	0.5
TTL1	1	SHP1	46.7	2.37	3
TTL1	1	ACS11	100	2.465	2.5
TTL1	1	IAA11	100	1.941	1.7
TTL1	1	YUC8	100	2.762	1.3
TTL1	1	GATA23	100	3.08	1.2
TTL1	1	CYP735A1	48.6	1.821	3
TTL1	1	ABIL4	100	1.871	1.5
TTL1	1	CLE2	100	2.508	1.5
ARF1	-1	APT1	100	0.726	1
ARF1	-1	ARF1	0.5	0	0
ARF1	-1	GL2	64.1	1.092	1
ARF1	-1	HAT2	41.6	1.038	0.2
ARF1	-1	EXPA14	50.6	1.126	1.2
ARR3	-1	E2FC	84.5	3.185	2.2
EGL3	1	SMB	1.5	1.425	6.5
EGL3	-1	IAA13	100	3.375	0.8
EGL3	1	CYCD6.1	81.4	1.544	2.7
EGL3	1	ATML1	100	0.706	1
EGL3	-1	APT3	55.8	3.069	0.2
WKRY56	1	B3	38.6	1.573	3
WKRY56	1	AtMYB93	100	1.429	2.5
WKRY56	1	CLV2	87.6	1.44	0.5
WKRY56	1	bZIP8	75.7	1.143	2.5
WKRY56	1	CLV1.like4	26.6	1.955	3
WKRY56	1	AHK1	48.6	1.14	3
WKRY56	1	AT3G11280	100	1.59	0.5
WKRY56	1	IPT3	91.1	1.285	2.5
WKRY56	1	YUC6	100	0.742	1
WKRY56	1	ZF3	75.8	0.918	1
WKRY56	-1	GH3.6	99	1.228	2
WKRY56	1	ARR6	1	2.067	4
WKRY56	-1	HAM3	100	2.16	0.5
ARR11	1	CKX4	40.8	1.366	3
CRF10	1	PIN1	14.7	2.144	1
CRF10	1	CYCD2.1	100	1.316	0.5
CRF10	1	PKL	100	1.087	0.8
CRF10	1	PHB	100	0.965	1
CRF10	1	E2FA	12.3	1.444	1.2
CRF10	1	ACR4	66	0.938	1.5
CRF10	1	ARF8	58.6	1.48	0.7
CRF10	1	KAN4	33	1.546	2
bZIP8	1	KMD2	64.8	1.195	5.5
bZIP8	1	LBD4	17.3	1.793	1
bZIP8	1	CLV2	57.6	1.023	0.5
bZIP8	1	CYP735A2	66.1	0.978	1.5
bZIP8	1	CLV1.like4	51.7	1.239	1
bZIP8	1	LAX3	9.2	1.894	2
bZIP8	1	AHK1	100	0.734	0.8
bZIP8	1	CPC	100	1.27	1.5
bZIP8	1	ABI8	62	1.516	1
bZIP8	1	CK	77.5	0.976	1.5
bZIP8	1	TAR2	9.9	1.756	2
bZIP8	1	ARR6	78.2	1.203	0.5
CRF8	1	SHY2	100	1.073	1.5
CRF8	1	ARF17	96	1.475	1.7
CRF8	1	BOP2	100	1.243	0.8
CRF8	1	LBD16	99.9	1.043	1.8
CRF8	1	AHP1	19.1	1.802	1.7
CRF8	1	LBD29	69.4	1.247	2.2
CRF8	1	APT3	86.9	1.516	2
CRF8	1	LOG7	96	1.089	1
CRF8	1	IPT5	57	1.904	0.7
CRF8	1	ARF7	74.1	1.28	0.8
TMO7	1	BRI1	100	1.18	0.2
TMO7	1	KAN1	62.4	1.491	0.7
ARR15	-1	CRF12	81.4	0.892	2
ARR15	-1	PHV	100	0.982	0.8
ARR15	-1	LBD4	17.2	1.343	1.2
ARR15	-1	E2FC	88.9	0.75	0.5
ARR15	-1	ARR15	17.2	0	0
ARR15	-1	CDKB2.1	8.8	0.835	3.2
ARR15	-1	CYCD2.1	99.6	1.219	0.2
ARR15	-1	EXPA4	24.9	1.25	0.5
ARR15	-1	CKX1	51.2	1.286	0.5
ARR15	-1	RBR1	53	0.918	0.7
ARR15	-1	ARF18	90.5	0.874	0.5
CUC3	1	WAG1	31.7	2.428	2.7
CUC3	1	ADK	100	1.493	2.2
CUC3	-1	LBD16	99.9	1.575	1
CUC3	1	CKX6	100	1.819	2.3
CUC3	1	CYCD6.1	76.3	1.173	2.5
CUC3	-1	ARF9	64.1	1.867	0.8
CUC3	-1	ARF2	86.7	2.205	2.5
ARF17	-1	AFB3	20.7	1.658	6
ARF17	-1	CUC3	68.5	2.018	0.5
ARF17	-1	IPT2	99.9	1.471	1.2
ARF17	1	ARR5	29.9	1.098	4.7
ARF17	-1	CKX6	72.9	0.894	2.8
ARF17	-1	PLT3	48.6	1.249	3
SMB	1	TAA1	100	1.229	1.7
SMB	-1	SMB	0.7	0	0
SMB	1	MEL4	73.3	1.166	1
SMB	1	PID2	100	1.523	0.3
SMB	1	PID	100	2.625	1
SMB	-1	PGP4	100	3.36	1
SMB	1	PGP19	47.9	2.209	0.3
SMB	1	RGF4	100	0.907	0.2
SMB	1	AFB1	39.4	1.405	1
SMB	-1	WOX13	100	2.677	1.3
SMB	1	AHK5	100	1.431	1.5
SMB	1	WER	3.8	1.388	0.3
SMB	1	KAN1	100	1.387	1.3
SMB	1	ADK1b	100	2.768	0.3
SMB	1	AGL14	100	1.215	0.3
GL2	-1	ARR4	50.2	2.689	0.3
GL2	1	APT1	47.6	3.057	3
GL2	1	PIN4	100	1.488	2
GL2	-1	U.box	100	2.782	2
GL2	-1	AT3G11280	100	2.638	1
GL2	-1	CRF1	80.8	2.337	2.2
GL2	1	EXPA14	100	1.409	2
ARR14	1	AT1G04880	47.3	1.292	3
ARR14	-1	ARR14	62.1	0	0
ARR14	1	LHW	43.1	0.817	2.5
ARR14	1	SHR	24.5	1.32	3.2
RGF8	1	PLT2	57.4	1.059	0.2
RGF8	-1	ARF17	100	2.577	0.3
RGF8	1	AHP6	100	1.232	2.5
RGF8	1	CYCA2.4	83.8	0.974	1.2
RGF8	-1	PGP4	72.5	1.513	0.8
RGF8	1	DPA	99.7	1.414	1
CLF	-1	PIN7	82.8	3.404	0.7
CLF	-1	IAA13	86.6	1.708	0.7
CLF	-1	LBD29	100	2.561	2.2
CLF	-1	APT3	14.9	2.219	0.8
CLF	-1	AHK2	100	1.809	0.3
CLF	-1	REV	85.6	2.331	1.2
PKL	-1	IAA5	100	1.315	1.2
PKL	-1	PIN7	83.9	1.516	2.5
PKL	-1	CRF8	99	1.414	1.2
PKL	1	SMB	17.4	3.059	2.7
PKL	-1	GH3.1	41.3	1.96	2.2
PKL	-1	ARR8	47.9	1.33	3
PKL	-1	IAA19	87.8	1.589	2.2
PKL	-1	AHP2	100	1.155	2.5
PKL	-1	ARR9	48.6	1.343	3
PKL	-1	SLR	42.7	1.466	3
PKL	-1	IAA11	99.6	2.247	1.8
PKL	-1	YUC8	74	3.138	1.3
PKL	-1	ARF7	73.4	1.038	2.7
PKL	-1	IAA28	100	2.076	1
PKL	-1	AHP3	100	2.409	1
PKL	-1	ABIL4	97.2	2.112	1.3
PKL	-1	ARF4	100	1.718	2
PKL	-1	PUB4	100	1.853	2
ARR12	1	ARR3	100	1.581	1
ARR12	1	PIN3	100	1.524	2.2
ARR12	1	RGF7	33.7	2.363	2
ARR12	1	IAA2	48.6	1.481	3
ARR12	1	ARR9	100	1.689	2.5
ARR12	1	SHP1	72.9	1.838	2.8
ARR12	1	IAA11	100	1.26	2
ARR12	1	YUC8	100	1.8	1.2
ARR12	1	IPT5	100	1.235	1.2
ARR12	1	IAA28	100	1.116	2
ARR12	1	GATA23	100	2.107	1.2
ARR12	1	AHP3	100	1.163	1.5
