source	inter	target	btstp	index	?
SHP1	-1	CKX6	7	1.68	1.3
SHP1	1	ARR2	100	1.089	2
SHP1	1	LOG9	100	0.88	0.8
SHP1	1	YUC5	24.5	1.314	3.2
SHP1	-1	NTT	6.7	1.661	3
CRF6	1	ARR4	100	1.089	1
CRF6	1	WOX14	100	1.345	4.5
CRF6	1	ARR11	12.4	2.05	2
CRF6	1	KMD1	23.7	2.607	1.5
CRF6	1	EXPA17	1.4	1.511	2.5
CRF6	1	IAA1	100	1.21	1.5
ARF18	-1	IAA5	100	0.838	0.8
ARF18	1	WOX14	48.6	2.026	6
ARF18	-1	MYC2	94.9	1.372	0.5
ARF18	-1	LBD17	100	1.625	1.8
ARF18	-1	AHP1	100	0.895	1.2
ARF18	-1	ACS11	100	1.496	1
ARF18	-1	ARR2	100	0.847	0.2
ARF18	-1	IAA28	100	1.122	1
ARF18	-1	AHP3	81.4	1.403	2.7
ARF18	-1	MAIL1	18	1.816	1
CRF1	1	BDL	52.4	1.129	0.8
CRF1	1	WRI3	66.7	0.888	1.5
CRF1	1	MYB52	3.1	1.346	2.5
CRF1	1	WKRY56	23	1.62	2.5
CRF1	-1	PIN4	100	1.09	2.2
CRF1	-1	ARR12	72.9	1.232	2.2
CRF1	1	CKX1	64.3	1.269	2
CRF1	1	U.box	100	0.836	1.5
CRF1	1	WRKY43	4	1.482	2.2
CRF1	-1	IAA2	58.7	1.265	0.7
CRF1	1	GCN5	100	1.133	2
CRF1	-1	CRF1	8.9	0	0
CRF1	1	AT5G06270	34.6	0.992	2.2
CRF1	1	MYB56	6.3	1.037	3.2
CRF1	-1	LOG9	33.2	1.561	0.7
CRF1	1	ZF3	96.6	1.176	2.5
SLR	1	ARF1	4.7	1.197	3
SLR	-1	MAB4	57.8	1.296	1
IAA1	-1	APT1	23.1	1.389	3
IAA1	-1	YUC5	22.5	2.231	2.5
ARR2	1	IAA5	100	1.413	1.2
ARR2	1	IAA18	100	1.674	1.5
ARR2	1	IAA19	70.5	0.795	2.7
ARR2	1	ACS11	100	1.657	0.3
ARR2	1	IAA28	100	0.944	1.7
ATML1	1	YUC3	100	1.565	2.2
ATML1	1	CLF	100	2.009	0.7
ATML1	1	WAG2	59.6	1.831	1.5
ATML1	1	TIR1	100	2.752	1.5
CRF2	1	CUC3	3.8	2.745	0.8
CRF2	1	CYCD6.1	45.6	2.784	1.7
CRF2	-1	ARF9	72.9	1.836	2.8
CRF2	1	CYCB1.1	72.9	1.049	2.8
CRF2	-1	HAT22	97.7	1.437	1.5
CRF2	1	LOG8	30.2	2.758	1.5
CRF2	1	IPT9	100	1.356	0.2
CRF2	1	PES	100	0.984	1.5
ARF9	-1	WAG1	100	0.947	0.5
ARF9	-1	IPT1	100	1.722	1.8
ARF9	-1	TAA1	82.6	2.281	1.7
ARF9	-1	TMO7	16.4	2.087	3.3
ARF9	-1	IPT2	34.7	1.45	1.8
ARF9	-1	ADK	88.4	1.632	2.2
ARF9	-1	WAG2	71.9	2.355	0.7
ARF9	-1	PGP19	100	1.644	0.7
ARF9	-1	MAB4	91.1	1.907	2.2
ARF9	-1	SHR	100	1.173	1
ARF9	-1	LOG8	100	1.571	2
ARF9	-1	KAN4	94.6	1.3	1.3
ARF9	-1	CRF3	100	1.265	2
ARF9	-1	HAM1	48.6	1.527	3
ARF9	-1	HAM2	100	1.742	2.2
MYB41	1	KCS2	100	1	2.5
MYB41	1	IPT7	65.4	1.424	0.5
MYB41	-1	SCR	81.5	1.977	1
MYB41	1	CRF1	24.1	2.066	3
MYB41	1	PLT5	95.6	1.131	2.5
MYB41	1	PLT7	95.5	1.388	1.5
IAA11	-1	ARR7	83	2.465	1.3
IAA11	-1	MP	64.1	2.748	0.8
IAA11	-1	LOG3	56.9	3.338	0.2
IAA11	-1	HDG12	83.7	2.77	1.2
IAA11	-1	ICR1	100	2.411	1
ARF16	-1	PIN3	96.5	1.568	1.8
ARF16	-1	LBD17	100	1.577	2
ARF16	-1	IAA11	100	1.007	0.8
ARF16	-1	IAA29	80.4	1.746	2.7
ARF16	-1	GATA23	100	2.134	0.8
ARF16	-1	ABIL4	98.1	1.16	0.7
ARF16	-1	ARF4	97.8	1.494	0.2
ARF16	-1	PUB4	100	1.023	0.8
ARR10	-1	ARR10	29.3	0	0
IAA29	1	APT4	3.1	1.434	5
IAA29	-1	TMO6	29.3	1.044	1
WOX13	1	BGLU11	100	1.394	2
WOX13	1	ARF19	100	1.681	0.5
WOX13	-1	EGL3	6.1	1.267	0.2
WOX13	-1	TMO7	6.1	1.025	0.5
WOX13	1	LBD16	100	1.557	0.2
WOX13	1	LBD18	100	2.368	0.8
WOX13	1	APT4	93.2	2.882	1.8
WOX13	-1	ATML1	13.8	1.555	2
WOX13	-1	PIN2	4.9	2.438	1.3
SHR	-1	KMD2	87.5	1.494	3.5
SHR	-1	CLV2	90.7	1.12	0.7
SHR	-1	U.box	100	1.56	2.5
SHR	1	SCR	100	1.171	2.2
SHR	-1	MYB41	100	1.817	1.2
SHR	1	ADK2	100	1.139	1.5
SHR	1	HAT2	85.6	1.628	0.8
SHR	1	CRF3	38.6	1.053	1
SHR	1	EXPA14	28.6	2.005	1.2
SHR	-1	PLT5	100	1.137	1.5
SHR	1	HAM1	37.3	1.277	0.2
ANT	-1	AHK3	100	1.332	1
ANT	1	CKX6	100	1.65	2
ANT	-1	IAA29	79.9	1.862	1
ANT	1	CYCD3.1	100	0.897	2
ANT	-1	ARF7	72.7	1.322	2.8
ANT	1	CKX3	100	1.591	2.5
HAT22	1	ARF19	100	1.056	2
HAT22	1	CNA	99.1	1.187	2
HAT22	-1	LHW	48.2	1.094	0.5
HAT22	1	LBD18	100	1.267	2.2
HAT22	1	PGP4	100	1.472	2.2
HAT22	1	AFB2	24.5	1.241	3.2
HAT22	-1	LOG4	99.7	1.682	2.5
HAT22	1	YUC2	100	1.374	0.8
HAT22	1	IAA29	100	2.353	2.5
HAT22	1	LBD33	25.2	2.883	1.5
HAT22	-1	KAN4	21	1.625	0.2
HAT22	1	CLV1.like2	91.7	1.39	2
JKD	1	KMD1	25.8	2.027	5.2
LBD33	1	BGLU11	33.7	2.216	1.2
LBD33	1	CYCD1.1	51.2	1.25	2
LBD33	1	LBD18	87.2	1.375	0.5
LBD33	-1	ARR10	29.3	1.621	2
LBD33	-1	LBD33	2.4	0	0
LBD33	1	ARR23	78.5	1.832	0.7
LBD33	-1	MEL2	72.8	1.645	1
PLT3	-1	ARF19	97.5	1.732	2.2
PLT3	1	MP	100	1.176	1.8
PLT3	1	IPT1	34.4	2.754	2.5
PLT3	1	CDKB2.1	52.4	3.222	1.3
PLT3	1	CYCA2.4	100	1.354	1.2
PLT3	1	E2FA	100	1.429	1.3
PLT3	-1	AHP2	81.7	1.902	0.3
PLT3	1	ACR4	47.2	1.425	2
PLT3	1	APT5	33.5	1.781	0.5
PLT3	1	BBM	100	1.95	1
PLT3	-1	IPT5	100	3.098	0.3
PLT3	1	IPT9	100	1.039	0.2
PLT3	1	PI	92.3	1.967	2.3
PLT3	1	ROW1	100	0.784	0.2
PLT3	1	MAIN	71.6	1.897	2
LRP1	1	CUC3	100	3.264	1
LRP1	1	RGF8	100	2.03	0.7
LRP1	1	IPT2	72.9	2.115	2.8
LRP1	1	PHB	100	1.094	0.5
LRP1	-1	IPT7	50.6	2.769	0.5
LRP1	-1	YUC2	92.5	1.608	1.5
LRP1	1	CRF2	100	0.874	1.2
LRP1	1	PLT3	100	0.97	1.5
LRP1	1	APT5	100	2.463	1.3
LRP1	1	BBM	100	2.707	1.7
LRP1	1	IPT9	100	1.408	1.8
LRP1	1	KAN4	100	2.052	1.3
LRP1	1	ROW1	100	1.324	2.2
LRP1	1	PES	100	1.15	2.2
WER	1	PIN1	100	3.338	0.7
WER	1	AHP6	75.6	2.097	0.7
WER	1	ADK	53	2.87	1
WER	1	ATML1	72.9	0.94	2.8
WER	1	KAN1	100	1.673	1.5
WER	1	HDG1	66.6	1.91	2.8
WER	1	HAM2	100	2.092	0.3
KAN1	1	ATML1	26	1.149	1.2
KAN1	1	PIN2	100	1.933	1
KAN1	-1	REV	78.4	3.303	1.8
KAN1	1	NAP	100	1.665	0.5
BBM	-1	CNA	100	2.411	2
BBM	1	ARR14	85.2	1.461	0.8
BBM	1	CYCD6.1	24	1.591	3
BBM	1	APT5	86.8	0.955	0.5
BBM	-1	PUCHI	33	2.268	0.7
BBM	-1	AHK2	48.6	1.529	3
MYB56	-1	IAA5	97.8	0.962	2
MYB56	1	GH3.17	70.5	1.109	0.8
MYB56	1	PHV	100	0.917	0.5
MYB56	1	LBD4	100	0.78	0.5
MYB56	1	CYP735A2	10	1.885	0.8
MYB56	1	LAX3	14.5	1.211	3
MYB56	1	EXPA4	100	0.9	0.8
MYB56	1	CKX1	100	1.079	2
MYB56	1	CPC	69.6	1.217	1
MYB56	1	CRF11	92.4	1.292	1.2
MYB56	-1	ACS11	85	1.516	0.8
MYB56	1	TAR2	100	1.502	2.2
MYB56	1	ARF16	100	0.942	1.5
MYB56	-1	MEL1	100	1.061	0.5
MYB56	1	ANT	100	1.035	1.5
MYB56	-1	GATA23	85.6	1.956	0.8
MYB56	-1	AHP3	98.6	1.436	1
MYB56	-1	PUB4	49.7	1.267	1.2
PUCHI	1	CYCD1.1	0.6	1.607	1.5
PUCHI	-1	GL2	37.1	2.367	3
PUCHI	1	BIG.ASA1	66.5	1.332	2
PUCHI	-1	WAG2	58	2.207	2.5
PUCHI	1	IPT7	32.8	1.544	1
PUCHI	1	CRF1	9.4	1.958	6
PUCHI	-1	SHR	100	1.199	1.5
PUCHI	1	LBD33	13.9	2.277	0.7
PUCHI	-1	HAT2	14.4	2.551	4.5
PUCHI	1	PLT7	16.5	0.953	2
PI	-1	BGLU11	100	1.61	1
PI	-1	CNA	83.2	1.684	2
PI	1	WAG1	100	2.376	2
PI	-1	GH3.3	31.8	1.907	0.5
PI	1	TIR1	12.9	2.689	3
PI	1	CYCD6.1	51.4	1.309	2.8
PI	-1	PUCHI	71.5	1.653	1.2
PI	-1	AHK2	81.4	1.369	2.7
PI	-1	REV	100	1.988	2.2
PI	-1	PLT7	40.6	2.107	2
PI	1	HDG1	24.5	1.529	3.2
PI	1	NAP	31	1.704	2.5
ARF7	1	ARF19	96.7	0.917	2
ARF7	1	ARR8	82	1.124	1
ARF7	1	IAA19	80.4	1.283	1.2
ARF7	1	AHP2	82	0.776	0.2
ARF7	1	KRP2	82	0.905	1.2
ARF7	1	ARR9	82	1.287	0.7
ARF7	1	LBD29	79.9	1.26	1.5
ARF7	1	HAT22	100	0.885	1
ARF7	1	CK.N.GT	69.5	1.6	2.5
ARF7	1	ARF4	100	1.513	0.2
ARF7	1	CLV1.like2	68.4	1.246	1.5
IAA28	1	JAZ1	4.2	2.462	6.5
IAA28	-1	CRF10	100	2.879	0.3
IAA28	-1	LOG4	100	3.192	2.5
IAA28	-1	ARF16	100	1.523	0.8
IAA28	-1	CLV1.like1	100	1.232	1.2
GATA23	1	GH3.1	81.5	2.239	1.5
GATA23	1	LBD17	100	0.897	1
GATA23	1	IAA19	89.8	2.654	1.8
GATA23	-1	TMO5	95.6	2.709	1.8
GATA23	1	SHP1	28.8	1.924	1.5
GATA23	1	GH3.5	100	3.387	1.2
ARF8	1	PLT2	100	0.937	0.2
ARF8	1	AHP6	21.6	1.278	1.5
ARF8	1	CYCA2.4	66.5	0.817	0.8
ARF8	1	ACR4	84.5	1.653	1.7
ARF8	1	CYCB1.1	86.9	1.206	0.3
ARF8	1	DPA	100	1.539	1
ARF8	1	APT5	54.4	1.046	0.8
ARF8	1	IPT9	100	1.7	2.3
ARF8	1	ROW1	100	1.532	0.3
KAN4	1	IPT1	100	2.366	1
KAN4	1	ARR14	100	1.657	2.2
KAN4	1	RGF8	100	1.267	0.5
KAN4	1	E2FA	100	1.401	0.5
KAN4	-1	PGP4	45.4	1.903	0.8
KAN4	1	CYCB1.1	100	1.542	0.8
KAN4	1	PLT3	25.8	1.241	0.7
KAN4	1	APT5	82.9	0.75	0.8
KAN4	1	LOG8	100	2.598	0.5
KAN4	1	BBM	100	0.899	0.5
KAN4	1	PI	100	1.236	1.5
KAN4	1	ARF8	88.4	1.056	0.2
KAN4	-1	ARF2	100	2.199	0.2
ZF3	1	KMD2	54.6	1.344	5.8
ZF3	-1	GH3.6	80.8	0.812	1.5
HAT2	1	ARR3	65	1.548	0.2
HAT2	1	IAA2	45.9	1.529	0.5
HAT2	1	SCR	96.1	1.791	2
HAT2	-1	CRF6	14	2.487	2
HAT2	1	GH3.5	100	1.69	2
HAT2	1	YUC8	76.5	1.896	1
HAT2	1	GATA23	100	1.874	1
HAT2	1	CLE2	100	1.568	1.2
CRF3	1	PIN1	13.4	0.851	2
CRF3	1	PID	57.1	1.236	2.8
CRF3	-1	ARR5	14.9	2.679	5
CRF3	-1	EXPA17	51.9	1.878	4.8
PLT5	1	AT3G11280	100	1.365	2.5
PLT5	-1	SCR	48.6	1.568	3
PLT5	1	GCN5	99	1.462	2.5
PLT5	1	CRF1	38.4	1.553	1.5
PLT5	-1	ADK2	96.9	1.695	1
PLT5	1	YUC6	34.6	1.333	3
PLT5	1	ZF3	72.8	1.196	2
PLT5	-1	HAT2	43.3	2.6	1.5
PLT5	-1	HAM3	100	1.647	1
TMO6	-1	APT2	12.3	2.212	6.2
TMO6	-1	APT4	15.8	1.987	1
TMO6	1	LOG6	29.8	3.863	5.3
TMO6	-1	YUC5	48.6	1.816	3
TMO6	1	CKX3	100	1.872	2
ARF4	-1	ARR7	46.2	1.464	2.8
ARF4	-1	LOG3	59.6	1.935	1
ARF4	-1	AtWIP4	72.8	1.886	0.2
ARF4	-1	HDG12	72.8	1.608	1.2
REV	1	KCS2	64.6	1.398	0.5
REV	1	WRI3	95.8	1.354	2.5
REV	1	CLV2	98.9	1.642	2.5
REV	1	WRKY43	98.2	1.691	2.2
REV	1	IPT3	100	1.447	0.5
REV	-1	AHK5	5	2.354	1.8
REV	1	PLT5	72.9	1.179	2.8
REV	1	ARF2	100	1.067	1.3
REV	-1	AGL14	7.8	2.269	1
ARF2	-1	EGL3	100	2.936	0.8
ARF2	-1	TMO7	100	2.655	0.8
ARF2	-1	CLF	9.3	2.214	2.3
ARF2	-1	AtWIP4	100	1.319	0.2
ARF2	-1	PGP19	99.4	2.135	0.8
ARF2	-1	CRF2	24.2	1.052	1.3
ARF2	-1	MAB4	85.6	2.112	0.8
ARF2	-1	SHR	100	1.587	1.5
ARF2	-1	LOG8	29.6	1.895	1
ARF2	-1	LRP1	54.3	1.174	0.7
ARF2	-1	CLV1.like3	87.2	2.424	0.2
ARF2	-1	CRF3	100	1.394	2.2
ARF2	-1	HAM2	100	2.247	2
ARR23	1	IPT6	29.8	1.262	1
ARR23	1	MYC2	100	0.978	2.2
ARR23	1	CYCD1.1	100	0.994	1
ARR23	1	LBD18	77.3	0.753	0.3
ARR23	1	YUC2	100	0.795	1.2
ARR23	1	ARF9	64.5	1.048	1
ARR23	1	MYB41	11.7	1.345	3.2
ARR23	1	CK.N.GT	90.5	0.856	1
ARR23	1	ARF2	37.3	1.092	3
ARR23	-1	ARR23	41.5	0	0
MYB53	1	KMD2	37.2	1.675	5
MYB53	1	B3	39.4	1.47	2.5
MYB53	1	AtMYB93	74.9	1.416	2.5
MYB53	1	bZIP8	100	0.918	2
MYB53	1	CLV1.like4	4.3	1.929	3.2
MYB53	1	ABI8	2.9	2.513	2.5
MYB53	1	IPT3	100	1.153	2.5
MYB53	1	YUC6	100	0.785	0.5
MYB53	-1	GH3.6	62	1.268	0.5
MYB53	1	ARR6	1	2.022	4
MYB53	-1	HAM3	91.7	2.396	0.2
PLT7	1	KCS2	100	0.988	1.5
PLT7	1	WRI3	72.9	1.157	2.8
PLT7	-1	WAG1	91.7	1.075	1.5
PLT7	1	BIG.ASA1	100	1.025	0.8
PLT7	-1	WAG2	58.8	2.082	1
PLT7	1	IPT7	100	0.966	1
PLT7	1	IPT3	67	1.331	1.8
PLT7	-1	MAB4	63.5	1.56	2.5
PLT7	-1	SHR	100	1.293	2
PLT7	1	PLT5	100	0.934	2.5
PLT7	1	ARF2	100	0.774	1.5
PLT7	-1	NAP	36.5	1.35	1.8
ROW1	1	AFB3	9.4	2.968	6.8
ROW1	-1	AHK3	100	1.488	2.3
ROW1	-1	IAA18	100	1.679	2
ROW1	1	CYCD2.1	83	3.135	2
ROW1	1	PKL	100	2.115	1.2
ROW1	1	PHB	100	1.558	0.7
ROW1	-1	BOP2	100	2.332	0.2
ROW1	-1	LBD16	100	1.287	0.8
ROW1	1	ACR4	100	0.821	1
ROW1	-1	ARR2	100	2.655	0.3
ROW1	1	CYCB1.1	88.1	0.924	1
ROW1	-1	HAT22	100	1.166	2.2
ROW1	1	DPA	100	2.51	1.8
ROW1	-1	LOG7	100	2.348	1.5
ROW1	1	MAIN	89	1.562	0.5
ROW1	1	PES	100	0.829	0.5
HDG1	1	YUC3	68.2	1.548	2
HDG1	1	WAG2	61.1	1.507	0.8
HDG1	-1	REV	58.4	2.771	0.5
HDG1	-1	HDG1	0.5	0	0
HDG1	1	AGL14	100	0.777	2.5
HDG12	1	AFB3	21.1	0.895	5.2
HDG12	-1	CNA	48.6	0.864	3
HDG12	-1	GH3.1	64.1	1.095	0.5
HDG12	-1	AFB2	9.4	0.891	2.2
HDG12	-1	LBD33	68.8	1.72	2.8
HDG12	-1	HDG12	0.4	0	0
PES	1	MP	100	1.232	2.2
PES	-1	AHK3	90.9	1.483	0.7
PES	1	PLT2	100	2.359	0.3
PES	-1	IAA18	100	1.606	1
PES	1	CYCA2.4	100	1.139	2.2
PES	1	RGF8	100	1.42	0.5
PES	1	LHW	100	1.149	0.8
PES	1	E2FA	100	1.434	0.5
PES	1	LOG3	100	1.264	2.2
PES	-1	ARR8	48.6	2.319	3
PES	-1	BOP2	100	2.176	1
PES	-1	AHP2	100	1.9	1.3
PES	1	PLT3	36.6	0.701	0.7
PES	-1	IPT5	81.4	3.159	2.7
PES	1	ARF8	100	1.532	1
PES	1	KAN4	21.1	1.684	0.2
PES	1	ADK1b	100	2.024	1
PES	-1	AGL21	100	2.232	1
NTT	-1	ARR3	86.6	1.549	1.7
NTT	-1	COI1	10.9	1.062	0.8
NTT	1	ARF16	48.6	0.986	3
NTT	1	EXPA20	86.2	1.343	0.8
NTT	-1	IAA28	81.4	1.146	2.3
NTT	1	CLV1.like1	83	1.015	1
AGL21	-1	MGP	1.3	1.484	6.8
AGL21	1	PIN7	72.9	0.889	2.8
AGL21	1	CLV1	98.1	1.238	0.8
AGL21	-1	CDKB2.1	100	0.931	1.2
AGL21	1	IAA13	94	1.08	2.5
AGL21	-1	PID	85.6	1.455	2.3
AGL21	1	COI1	38.4	1.13	2.5
AGL21	1	BOP2	100	0.849	0.8
AGL21	-1	RBR1	100	0.881	0.7
AGL21	-1	AtWIP4	94.9	1.177	1
AGL21	1	ETO1	41.1	1.568	0.2
AGL21	1	APT3	89.4	1.302	2
AGL21	1	IPT5	25.4	0.949	1.2
AGL21	1	ARF7	97.1	1.033	2.2
AGL21	1	AHK2	62.5	1.081	1.8
AGL21	1	AHP3	46.4	1.504	1.2
AGL21	1	ARF4	34.7	1.041	1
AGL21	1	PUB4	63.5	1.286	0.8
AGL21	-1	HDG1	45.4	1.914	2.7
AGL21	1	MAIL1	19.7	1.183	0.2
AGL21	-1	AGL21	100	0	0
AGL14	1	FEZ	100	1.134	0.5
AGL14	1	MEL4	100	1.102	1
AGL14	1	PGP19	100	1.551	0.7
AGL14	1	RGF4	100	1.591	1.3
AGL14	1	AFB1	100	0.904	0.8
AGL14	1	BRI1	100	1.201	1
AGL14	1	WER	100	0.897	0.8
AGL14	1	CLV1.like3	100	1.052	1
HAM1	1	APT1	16.6	2.422	2
HAM1	1	GL2	73.1	1.512	2.7
HAM1	-1	LOG7	92.4	1.608	0.7
HAM2	-1	KCS2	16	2.919	3.3
HAM2	1	GL2	100	1.131	1.2
HAM2	1	AHK5	65.3	1.107	1.2
HAM2	1	PIN2	100	1.66	0.7
HAM2	1	NAP	100	0.872	1
HAM3	-1	B3	81.5	2.06	1.2
HAM3	-1	AT3G11280	83.7	1.016	0.5
HAM3	-1	CRF6	50.2	1.276	1
HAM3	1	CRF3	28.7	0.973	0.5
HAM3	1	HAM1	35.5	1.131	1.5
NAP	-1	KCS2	22.5	2.189	1
NAP	-1	WRI3	34.4	1.738	1
NAP	-1	AHK1	0.4	2.531	1.3
NAP	1	PID	88.5	0.975	0.8
NAP	-1	BIG.ASA1	57.9	1.866	0.2
NAP	-1	IPT7	100	1.881	1
NAP	-1	CK	16.9	2.12	2
NAP	-1	ARF9	100	1.42	1.7
NAP	-1	MYB41	51.6	2.851	0.5
NAP	1	AHK5	30.7	0.947	1.8
NAP	1	HDG1	70.4	0.985	0.8
Stimulus	1	CRF8	4	0	0
Stimulus	1	ARF7	18	0	0
