ABI8,ABIL4,ACR4,ACS11,ADK,ADK1,ADK1b,ADK2,AFB1,AFB2,AFB3,AGL14,AGL21,AHK1,AHK2,AHK3,AHK5,AHP1,AHP2,AHP3,AHP6,ANT,APT1,APT2,APT3,APT4,APT5,ARF1,ARF16,ARF17,ARF18,ARF19,ARF2,ARF4,ARF6,ARF7,ARF8,ARF9,ARR10,ARR11,ARR12,ARR14,ARR15,ARR16,ARR17,ARR2,ARR23,ARR3,ARR4,ARR5,ARR6,ARR7,ARR8,ARR9,AT1G04880,AT3G11280,AT5G06270,ATML1,AUX1,AXR4,AtMYB93,AtWIP4,B3,BAK1,BBM,BDL,BGLU11,BIG.ASA1,BOP2,BRI1,CDKB2.1,CK,CK.N.GT,CKX1,CKX3,CKX4,CKX6,CLE2,CLF,CLV1,CLV1.like1,CLV1.like2,CLV1.like3,CLV1.like4,CLV2,CNA,COI1,CPC,CRF1,CRF10,CRF11,CRF12,CRF2,CRF3,CRF5,CRF6,CRF8,CUC3,CYCA2.4,CYCB1.1,CYCD1.1,CYCD2.1,CYCD3.1,CYCD6.1,CYP735A1,CYP735A2,DPA,E2FA,E2FC,EGL3,ETO1,EXPA14,EXPA17,EXPA20,EXPA4,FEZ,GATA23,GCN5,GH3.1,GH3.17,GH3.3,GH3.5,GH3.6,GL2,HAM1,HAM2,HAM3,HAT2,HAT22,HDG1,HDG12,IAA1,IAA11,IAA13,IAA18,IAA19,IAA2,IAA28,IAA29,IAA5,ICR1,IPT1,IPT2,IPT3,IPT5,IPT6,IPT7,IPT9,JAZ1,JKD,KAN1,KAN4,KCS2,KMD1,KMD2,KRP2,LAX3,LBD16,LBD17,LBD18,LBD29,LBD33,LBD4,LHW,LOG2,LOG3,LOG4,LOG5,LOG6,LOG7,LOG8,LOG9,LRP1,MAB4,MAIL1,MAIN,MEL1,MEL2,MEL4,MGP,MP,MYB41,MYB52,MYB53,MYB56,MYC2,NAP,NTT,PES,PGP19,PGP4,PHB,PHV,PI,PID,PID2,PIN1,PIN2,PIN3,PIN4,PIN7,PKL,PLT1,PLT2,PLT3,PLT5,PLT7,PUB4,PUCHI,RBR1,REV,RGF4,RGF7,RGF8,ROW1,SCR,SHP1,SHR,SHY2,SLR,SMB,Stimulus,TAA1,TAR2,TIR1,TMO5,TMO6,TMO7,TTL1,U.box,WAG1,WAG2,WER,WKRY56,WOL.AHK4,WOX13,WOX14,WRI3,WRKY43,YUC2,YUC3,YUC5,YUC6,YUC8,ZF3,bZIP8
1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0
1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1
12
